Target,Rule,Relation1,Identifier1,Notes1
ISG20,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
GBP2,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFIT2,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFI27,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
XAF1,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFITM2,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
RNASEL,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IP6K2,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFITM3,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
Mx_space_GTPases_unknown,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
"""IRF_space_1-9_unknown""","""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
OAS_space_proteins_unknown,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_complex_nucleus",isDescribedBy,,
EGR1,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
EIF2AK2,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
PSMB8,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
KPNB1_nucleus,"""ISGF3:KPNA1:KPNB1_complex""|""p-Y701-STAT1:KPNA1:KPNB1_complex""",isDescribedBy,,
KPNA1_nucleus,"""ISGF3:KPNA1:KPNB1_complex""|""p-Y701-STAT1:KPNA1:KPNB1_complex""",isDescribedBy,,
IFITM1,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
ADP_simple_molecule,"""IFNA/B:IFNAR2:JAK1:STAT2:IFNAR1:TYK2_complex""&ATP_simple_molecule&!""p-TYK2:p-IFNAR1:SOCS-1/SOCS-3:IFNA/B:IFNAR2:p-JAK1:STAT2_complex""|""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex""&ATP_simple_molecule|""STAT1-1""&ATP_simple_molecule&""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex""|""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:STAT2_complex""&ATP_simple_molecule|""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex""&STAT1_unknown&ATP_simple_molecule&!""PTPN6,PTPN11_unknown""&!""STAT1,STAT2:N_complex""",isDescribedBy,,
Pi_simple_molecule,"""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex""&H2O_simple_molecule&PTPN1|""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:TYK2_complex""&H2O_simple_molecule&PTPN6|""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex""&H2O_simple_molecule&PTPN11",isDescribedBy,,
"""ABCE1:RNASEL_space_dimer_complex""",RNASEL_space_dimer_complex&ABCE1,isDescribedBy,,
ADAR,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
BST2,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
SAMHD1,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
RSAD2,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
"""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:STAT2_complex""","""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2_complex""&STAT2&!multiubiquitinated_space_STAT2_complex",isDescribedBy,,
"""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex""","""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:STAT2_complex""&ATP_simple_molecule",isDescribedBy,,
ISGF3_complex_cytosol,"""p-STAT2:p-STAT1_complex""&IRF9",isDescribedBy,,
"""p-STAT2:p-STAT1_complex""","""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex""",isDescribedBy,,
"""IFNA/B:IFNAR2:JAK1:STAT2:IFNAR1:TYK2_complex""","""IFNA/B:IFNAR2:JAK1:STAT2_complex""&""IFNAR1:TYK2_complex""&!""IFNAR1:TYK2:TYK2_space_inhibitors_complex""|""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:TYK2_complex""&H2O_simple_molecule&PTPN6",isDescribedBy,,
"""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2_complex""","""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex""&ATP_simple_molecule|""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex""",isDescribedBy,,
"""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex""","""IFNA/B:IFNAR2:JAK1:STAT2:IFNAR1:TYK2_complex""&ATP_simple_molecule&!""p-TYK2:p-IFNAR1:SOCS-1/SOCS-3:IFNA/B:IFNAR2:p-JAK1:STAT2_complex""",isDescribedBy,,
"""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex""","""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex""&STAT1_unknown&ATP_simple_molecule&!""PTPN6,PTPN11_unknown""&!""STAT1,STAT2:N_complex""",isDescribedBy,,
"""p-TYK2:p-IFNAR1:SOCS-1/SOCS-3:IFNA/B:IFNAR2:p-JAK1:STAT2_complex""","""IFNA/B:IFNAR2:JAK1:STAT2:IFNAR1:TYK2_complex""&""SOCS-1_space_and_space_SOCS-3_unknown""",isDescribedBy,,
"""IFNAR2c:UBP43_complex""","""IFNAR2-2""&USP18",isDescribedBy,,
"""p-Y701-STAT1-1_space_dimer_complex""","""STAT1-1""&ATP_simple_molecule&""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex""",isDescribedBy,,
"""p-Y701-STAT1_space_dimer_complex""","""p-Y701-STAT1:KPNA1:KPNB1_complex""",isDescribedBy,,
ISGF3_complex_nucleus,"""ISGF3:KPNA1:KPNB1_complex""",isDescribedBy,,
"""IFNA/B:IFNAR2:JAK1:STAT2_complex""","""IFN_space_alpha/beta_space_(IFNA/B)_unknown""&""IFNAR2:JAK1:STAT2_complex""&""IFNAR2:JAK1:STAT2:type_space_1_space_interferon_space_analogs_complex""&!""IFNAR2:JAK1:STAT2:JAK1,2_space_inhibitors_complex""",isDescribedBy,,
ISG15,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFIT1,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFI6,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFIT3,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
IFI35,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
"""IFNAR1:TYK2:TYK2_space_inhibitors_complex""","TYK2_space_inhibitors_unknown&""IFNAR1:TYK2_complex""",isDescribedBy,,
"""IFNAR2:JAK1:STAT2:JAK1,2_space_inhibitors_complex""","""IFNAR2:JAK1:STAT2_complex""&""JAK1,2_space_inhibitors_unknown""",isDescribedBy,,
IFIT5,"""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
"""IFNAR2:JAK1:STAT2:type_space_1_space_interferon_space_analogs_complex""","type_space_1_space_interferon_space_analogs_unknown&""IFNAR2:JAK1:STAT2_complex""",isDescribedBy,,
"""p-STAT1_space_dimer:KPNA1:KPNB1_unknown""","""p-STAT1_space_dimer:KPNA1_unknown""&KPNB1_cytosol",isDescribedBy,,
"""p-STAT1_space_dimer:KPNA1_unknown""","""p-STAT1_space_dimer,_space_ISGF3_unknown""&KPNA1_cytosol",isDescribedBy,,
"""Class_space_I_space_MHC_space_heavy_space_chain_space_(MHC_space_HC)_unknown""","""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",isDescribedBy,,
"""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:TYK2_complex""","""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex""&H2O_simple_molecule&PTPN1",isDescribedBy,,
"""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:STAT1_complex""","""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex""&H2O_simple_molecule&PTPN11",isDescribedBy,,
