species	detected_community	manual_module
ABCE1_RNASEL_dimer__mito	26	M1
ABCE1__mito	26	M1
ACTA2__cyto	1	ssc_tier1
ADAM10_17_Zn2_plus__cyto	2	M3
ADAR__nuc	5	M1
ADP__cyto	0	M1,M2,M4
ADP__endo	3	M2
ADP__nuc	6	M3
ANGPT1_TEK_complex__pm	23	M3
ANGPT1__ext	23	ssc_tier1
ANGPT2_TEK_complex__pm	23	M3
ANGPT2__ext	23	ssc_tier1
ARNT__cyto	7	ssc_tier1
ARRB__cyto	2	M3
ATP__cyto	0	M1,M2,M4
ATP__endo	3	M2
ATP__nuc	6	M3
AcM_UBE2M__cyto	11	M2
Active_PDGF_dimers_AA_AB_BB__ext	14	M2
Active_PDGF_dimers_CC_DD__ext	21	M2
BAFF_BCMA__pm	24	M4
BAFF_BCMA_complex__pm	24	M4
BAMBI__cyto	3	M2
BCAR1__cyto	9	M2
BCMA__ext	24	ssc_tier1
BCR_activated__cell	8	M4
BLIMP1__nuc	8	ssc_tier1
BLK__cyto	8	ssc_tier1
BST2__ext	5	M1
BTK__cyto	8	ssc_tier1
CBL__cyto	11	M2,M4
CD154__pm	8	ssc_tier1
CD19__pm	8	ssc_tier1
CD22__pm	8	ssc_tier1
CD31__pm	1	ssc_tier1
CD40__pm	8	ssc_tier1
CD79A__pm	8	ssc_tier1
CD79B__pm	8	ssc_tier1
CDH2__pm	1	ssc_tier1
CDH5__pm	1	ssc_tier1
CDH5_repressed__pm	1	M3
CDK8_CCNC__nuc	6	M3
CLCF1__ext	18	M4
CNTFR_CRLF1_CLCF1__cyto	18	M4
CNTFR__cyto	18	M4
CNTF_CNTFR_CRLF1_CLCF1_CNTFR_IL6ST_JAK1_JAK2_TYK2__cyto	4	M4
CNTF_CNTFR_CRLF1_CLCF1_CNTFR__cyto	4	M4
CNTF_CNTFR_CRLF1_CLCF1_CNTFR_gp130_JAKs_LIFR_JAKs__cyto	4	M4
CNTF_CNTFR__cyto	18	M4
CNTF__ext	18	M4
CNTN1_NOTCH1_DTX__cyto	2	M3
CNTN1__cyto	2	M3
COL1A1__ext	1	ssc_tier1
COL1A2__ext	1	ssc_tier1
COL3A1__ext	1	ssc_tier1
COL5A1__ext	1	ssc_tier1
COL5A2__ext	1	ssc_tier1
COMP__ecm	1	ssc_tier1
COX_2__er	36	ssc_tier1
CREBBP__nuc	6	M3
CRK_CRKL__cyto	9	M2
CRLF1_CLCF1__cyto	18	M4
CRLF1__cyto	18	M4
CTF1_LIFR_JAKs__cyto	4	M4
CTF1__ext	4	M4
CTGF__ext	1	M2
CXCL4__ext	10	M1
Class_I_MHC_heavy_chain_MHC_HC__er	5	M1
Cleaved_PDGF_B_peptides__golgi	12	M2
Cleaved_novel_PDGF_fragments__ext	21	M2
DDX58_MAVS__mito	10	M1
DDX58__cyto	10	ssc_tier1
DLK1__cyto	2	M3
DLL1_NOTCH1__cyto	22	M3
DLL1__cyto	22	M3
DLL4_NOTCH1__cyto	22	M3
DLL4__cyto	22	M3
DLL_JAG_NOTCH1__cyto	2	M3
DLL_JAG__cyto	2	M3
DNER_NOTCH1_DTX__cyto	2	M3
DNER__cyto	2	M3
DTX_ITCH__cyto	2	M3
DTX__cyto	2	M3
Dimeric_TGFB1_TGFBR2_homodimer__cyto	11	M2
EDN1_EDNRA_complex__pm	7	M3
EDN1__ext	7	ssc_tier1
EDNRA__pm	7	ssc_tier1
EDNRB__pm	7	ssc_tier1
EGR1__cyto	5	M1
EIF2AK2__cyto	5	M1
EP300__nuc	6	M3
Extracellular_matrix_ligands__ext	28	M2
FAP__pm	1	ssc_tier1
FBXW7_SKP1_CUL1_RBX1__nuc	6	M3
FKBP1A__cyto	11	M2
FN1__ecm	1	ssc_tier1
FOSL2_TBX2__nuc	1	M2
FOSL2__nuc	1	ssc_tier1
FOXP3__nuc	8	ssc_tier1
FSP1__pm	1	ssc_tier1
FURIN__golgi	12	M2
Fibrillin_1__ext	31	M2
GADD34_PP1__cyto	3	M2
GATA3__nuc	8	ssc_tier1
GBP2__cyto	5	M1
GDP__cyto	9	M2
GMP__cyto	7	M3
GRB2_1_SOS1__cyto	9	M2
GRB7__cyto	9	M2
GTP__cyto	9	M2
H2O__cyto	0	M1,M2
H2O__endo	3	M2
HES1_TLE__nuc	6	M3
HES1__nuc	6	M3
HES1_gene__nuc	6	M3
HES5__nuc	6	M3
HES5_gene__nuc	6	M3
HEY_Genes__nuc	6	M3
HEY__nuc	6	M3
HIF1A_ARNT__nuc	7	M3
HIF1A__nuc	7	M3
HIF1A_active__nuc	7	M3
IFI27__mito	5	M1
IFI35__cyto	5	M1
IFI6__cyto	5	M1
IFIT1__cyto	5	M1
IFIT2__cyto	5	M1
IFIT3__cyto	5	M1
IFIT5__cyto	5	M1
IFITM1__cyto	5	M1
IFITM2__cyto	5	M1
IFITM3__cyto	5	M1
IFNA1__ext	10	M1
IFNAR1_TYK2_TYK2_inhibitors__cyto	0	M1
IFNAR1_TYK2__cyto	0	M1
IFNAR2_JAK1_STAT2_JAK1_2_inhibitors__cyto	16	M1
IFNAR2_JAK1_STAT2__cyto	16	M1
IFNAR2_JAK1_STAT2_type_1_interferon_analogs__cyto	16	M1
IFNAR2_iso2__cyto	27	M1
IFNAR2c_UBP43__cyto	27	M1
IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	0	M1
IFNA_B_IFNAR2_JAK1_STAT2__cyto	16	M1
IFNA_B_IFNAR2_p_JAK1_STAT2_IFNAR1_TYK2__cyto	0	M1
IFNA_B_IFNAR2_p_JAK1_STAT2_IFNAR1_p_TYK2__cyto	0	M1
IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_STAT2__cyto	0	M1
IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2__cyto	0	M1
IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2_STAT1__cyto	0	M1
IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2__cyto	0	M1
IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2_p_STAT1__cyto	0	M1
IFNB1__ext	10	M1
IFN_alpha_beta_IFNA_B__ext	16	M1
IKBKE__cyto	10	ssc_tier1
IL11RA_IL11__cyto	4	M4
IL11RA__cyto	4	M4
IL11__ext	4	M4
IL13RA1__ext	15	ssc_tier1
IL13__ext	1	ssc_tier1
IL13_complex__pm	15	M4
IL31_IL31RA_JAK1_OSMR_JAK1__cyto	34	M4
IL31_IL31RA_JAK1__cyto	34	M4
IL4R__ext	15	ssc_tier1
IL4_IL4R_complex__pm	15	M4
IL4__ext	15	ssc_tier1
IL6RA_IL6_IL6RB_JAKs__cyto	4	M4
IL6R_IL6R_inhibitors__cyto	4	M4
IL6R__cyto	4	M4
IL6R_inhibitors__ext	4	M4
IL6R_iso2__ext	4	M4
IL6ST_JAK1_JAK2_TYK2__cyto	4	M4
IL6ST__cyto	4	M4
IL6ST_iso2__ext	4	M4
IL6_IL6RA_IL6RB_JAKs__cyto	4	M4
IL6_IL6R_2_IL6ST_2__ext	4	M4
IL6_IL6R_2__ext	4	M4
IL6_IL6R__cyto	4	M4
IL6_Tyrosine_phosphorylated_hexameric_IL_6_receptor_Activated_JAKs_p_Y546_Y584_PTPN11__cyto	0	M4
IL6__ext	1	M4
IL6_receptor_hexamer_Activated_JAKs__cyto	0	M4
IL6_receptor_hexamer_JAKs__cyto	0	M4
IL6_receptor_trimer_JAKs__cyto	0	M4
IL6_sIL6R_IL6RB_JAKs__cyto	4	M4
IP6K2__nuc	5	M1
IRF3_p__nuc	10	M1
IRF4__nuc	8	ssc_tier1
IRF7__cyto	10	ssc_tier1
IRF7_p__nuc	10	M1
IRF9__cyto	0	M1
IRF_family__cyto	5	M1
ISG15__cyto	5	M1
ISG20__nuc	5	M1
ISGF3_KPNA1_KPNB1__cyto	19	M1
ISGF3__cyto	0	M1
ISGF3__nuc	19	M1
ISGF3_bound_to_ISRE_promotor_elements__nuc	5	M1
ISG_signature__nuc	5	M1
ITCH__cyto	2	M3
JAG1_NOTCH1__cyto	2	M3
JAG1__cyto	2	M3
JAG2_NOTCH1__cyto	2	M3
JAG2__cyto	2	M3
JAK1_2_inhibitors__cyto	16	M1
JAK1_JAK2_TYK2__cyto	4	M4
JAK1__cyto	15	M4
JAK1_inhibited__cyto	35	M1
JAK2__cyto	15	M4
JAKs_LIFR__cyto	4	M4
JAKs_OSMR__cyto	4	M4
KDR__ext	7	ssc_tier1
KPNA1__cyto	20	M1
KPNA1__nuc	19	M1
KPNB1__cyto	20	M1
KPNB1__nuc	19	M1
LAP1_binding_integrins__cyto	32	M2
LAP3_binding_integrins__cyto	30	M2
LAP__ecm	1	ssc_tier1
LIFR_JAKs_OSMR_JAKs__cyto	33	M4
LIFR__cyto	4	M4
LIF_LIFR_JAKs__cyto	4	M4
LIF_OSM_CTF1_receptor_complex__cyto	4	M4
LIF_OSM_receptor_complex_gp130__cyto	4	M4
LIF__ext	4	M4
LOXL2__ecm	1	ssc_tier1
LOX__ecm	1	ssc_tier1
LTBP1_LTBP3_TGFB_LAP__ext	29	M2
LTBP1_LTBP3__ext	29	M2
LTBP1_TGFB1_LAP1_LAP1_binding_integrins__cyto	32	M2
LTBP1_TGFB1_LAP1__ext	32	M2
LTBP1__ecm	1	ssc_tier1
LTBP4_TGFB1_LAP1__ext	12	M2
LTBP4__ext	12	M2
LTBPs_Fibrillin_1__ext	31	M2
LTBPs__ext	31	M2
LYN__cyto	8	ssc_tier1
MAML__nuc	6	M3
MAVS__cyto	10	ssc_tier1
MB21D1__cyto	10	ssc_tier1
MIB_NEURL__cyto	2	M3
MS4A1__pm	8	ssc_tier1
MTMR4__endo	3	M2
MX_family__cyto	5	M1
MYC__nuc	6	M3
MYC_gene__nuc	6	M3
MyrG_SRC__cyto	0	M2
NBEA__cyto	7	M3
NBEA__nuc	7	M3
NCK1_NCK2__cyto	9	M2
NCOR_HDAC_TBL1__nuc	7	M3
NEDD4L__nuc	13	M2
NEDD8_AcM_UBE2M__cyto	11	M2
NEDD8_K556_K567_TGFBR2__cyto	11	M2
NEXT1__cyto	2	M3
NICD1_DTX__cyto	2	M3
NICD1_HIF1A__nuc	7	M3
NICD1_NBEA__nuc	7	M3
NICD1_RBPJ_SNW1__nuc	7	M3
NICD1__cyto	1	M3
NICD1__nuc	7	M3
NOS3__pm	7	ssc_tier1
NOTCH1_1721_1753__cyto	2	M3
NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	6	M3
NOTCH1_Coactivator_Complex_HES1_Gene__nuc	6	M3
NOTCH1_Coactivator_Complex_HES5_Gene__nuc	6	M3
NOTCH1_Coactivator_Complex_HEY_Genes__nuc	6	M3
NOTCH1_Coactivator_Complex_MYC_Gene__nuc	6	M3
NOTCH1_Coactivator_Complex__nuc	6	M3
NOTCH1_DLK1__cyto	2	M3
NOTCH1_DLL_JAG__cyto	2	M3
NOTCH1_DTX_ARRB__cyto	2	M3
NOTCH1_DTX__cyto	2	M3
NOTCH1_Fringe_modified_NOTCH1__cyto	22	M3
NOTCH1_NUMB_ITCH__cyto	2	M3
NOTCH1__cyto	2	M3
NOTCH3_JAG1_complex__pm	2	M3
NOTCH3__pm	2	ssc_tier1
NO__ext	7	ssc_tier1
NUMB__cyto	2	M3
N_ter_PDGFA_2_fragment__golgi	12	M2
N_ter_PDGF_A_fragment__golgi	12	M2
Novel_PDGF_precursor_dimers_CC_DD__ext	21	M2
Novel_PDGF_precursor_dimers_CC_DD__golgi	21	M2
OAS_family__cyto	5	M1
OSMR_JAK1__cyto	34	M4
OSMR__cyto	4	M4
OSM_OSMR_LIFR__cyto	33	M4
OSM__ext	33	M4
PCAF__nuc	6	M3
PDE5A__cyto	7	ssc_tier1
PDGFA__ext	1	M2
PDGFB__ext	1	M2
PDGFRA_PDGFRB__cyto	14	M2
PDGFRA__cyto	14	M2
PDGFRA_olaratumab__cyto	14	M2
PDGFRB__pm	1	M2
PDGFR_type_II_PDGFR_binding_TKIs__cyto	14	M2
PDGFR_type_I_PDGFR_binding_TKIs__cyto	0	M2
PDGF_A_B_heterodimer__ext	12	M2
PDGF_A_and_B_chains_ECM_complex__ext	28	M2
PDGF_A_and_B_chains_with_retention_motif__ext	28	M2
PDGF_PDGF_receptor_dimer__cyto	14	M2
PDGF_Phospho_PDGFR_receptor_dimer_Nck__cyto	9	M2
PDGF_Phospho_PDGF_receptor_dimer_Crk__cyto	9	M2
PDGF_Phospho_PDGF_receptor_dimer_Crk_p130Cas_C3G__cyto	9	M2
PDGF_Phospho_PDGF_receptor_dimer_Grb2_Sos1__cyto	9	M2
PDGF_Phospho_PDGF_receptor_dimer_Grb7__cyto	9	M2
PDGF_Phospho_PDGF_receptor_dimer_MyrG_SRC__cyto	0	M2
PDGF_Phospho_PDGF_receptor_dimer_MyrG_p_Y419_SRC__cyto	0	M2
PDGF_Phospho_PDGF_receptor_dimer_PI3K__cyto	0	M2
PDGF_Phospho_PDGF_receptor_dimer_PLC_gamma__cyto	9	M2
PDGF_Phospho_PDGF_receptor_dimer_SHP2__cyto	0	M2
PDGF_Phospho_PDGF_receptor_dimer__cyto	9	M2
PDGF_alpha_beta_PDGF_AB_and_BB_dimers__cyto	0	M2
PDGF_alpha_receptor_PDGF_dimers__cyto	0	M2
PDGF_beta_receptor_PDGF_chain_B_homodimer__cyto	0	M2
PDGF_p_PDGFR_dimer_p_PLCgamma__cyto	9	M2
PDGF_phospho_PDGF_receptor_dimer_STAT__cyto	9	M2
PDGF_precursor_dimers_AA_BB_A_B_CC_DD__er	37	M2
PDGF_precursor_dimers_AA_BB_A_B_CC_DD__golgi	37	M2
PI3K__cyto	0	M2
PI_3_4_5_P3__cyto	0	M2
PI_4_5_P2__cyto	0	M2
PLCG1__cyto	9	M2
PMEPA1__cyto	3	M2
PMEPA1__endo	3	M2
POSTN__ecm	1	ssc_tier1
PSMB8__nuc	5	M1
PTPN11__cyto	0	M1,M2,M4
PTPN12__cyto	0	M2
PTPN1__cyto	0	M1
PTPN2__cyto	35	ssc_tier1
PTPN6_PTPN11__cyto	0	M1
PTPN6__cyto	0	M1
Phospho_PDGF_alpha_beta_dimer_PDGF_AB_or_BB_dimers__cyto	0	M2
Phospho_PDGF_alpha_receptor_PDGF_dimers__cyto	0	M2
Phospho_PDGF_beta_receptor_PDGF_chain_B_homodimer__cyto	0	M2
Phospho_beta_receptor_homodimer_GAP__cyto	0	M2
Pi__cyto	0	M1,M2
Pi__endo	3	M2
Pre_TGFB1_complex__golgi	12	M2
RAPGEF1__cyto	9	M2
RASA1__cyto	0	M2
RBPJ_NCOR_corepressor_complex__nuc	7	M3
RBPJ_SNW1__nuc	6	M3
RBPJ__pm	2	ssc_tier1
RHOA__cyto	1	ssc_tier1
RNASEL__cyto	5	M1
RNASEL_dimer__mito	26	M1
ROCK1__cyto	1	ssc_tier1
ROCK2__cyto	1	ssc_tier1
RORC__nuc	8	ssc_tier1
RSAD2__er	5	M1
SAMHD1__nuc	5	M1
SMAD2_3_PMEPA1__cyto	3	M2
SMAD2_3__cyto	3	M2
SMAD2_SMURF2__cyto	25	M2
SMAD2__cyto	25	M2
SMAD3_STUB1__cyto	3	M2
SMAD3__cyto	3	M2
SMAD3_p__cyto	3	M2
SMAD3p_SMAD4__nuc	1	M2
SMAD4__cyto	3	M2
SMAD7_NEDD4L__cyto	13	M2
SMAD7_NEDD4L__nuc	13	M2
SMAD7_SMURF1_XPO1__nuc	13	M2
SMAD7_SMURF1__cyto	13	M2
SMAD7_SMURF1__nuc	13	M2
SMAD7_SMURF2__cyto	13	M2
SMAD7_SMURF2__nuc	13	M2
SMAD7_SMURF_NEDD4L__cyto	17	M2
SMAD7__cyto	3	M2
SMAD7__nuc	13	M2
SMURF1__cyto	11	M2
SMURF1__nuc	13	M2
SMURF2__cyto	25	M2
SMURF2__nuc	13	M2
SMURF_NEDD4L__cyto	17	M2
SNAI1__nuc	1	ssc_tier1
SNAI2__nuc	1	ssc_tier1
SOCS1__cyto	35	ssc_tier1
SOCS3__cyto	0	M4
SOCS_family__cyto	0	M1
STAT1_3_homo_and_heterodimers__nuc	0	M4
STAT1_STAT2_N__cyto	0	M1
STAT1_STAT3__cyto	0	M4
STAT1__cyto	0	M1
STAT1_iso1__cyto	0	M1
STAT2__cyto	0	M1
STAT3__cyto	1	crosstalk
STAT6__cyto	1	crosstalk
STAT6_p__cyto	15	M4
STAT6_p_dimer__nuc	1	M4
STAT_family_members__cyto	9	M2
STRAP__cyto	3	M2
STUB1__cyto	3	M2
SYK__cyto	8	ssc_tier1
TAZ__cyto	1	ssc_tier1
TBK1__cyto	10	ssc_tier1
TBX21__nuc	8	ssc_tier1
TBX2__nuc	1	ssc_tier1
TBXA2R__pm	36	ssc_tier1
TBXA2R_signal__pm	36	M3
TEK__pm	23	ssc_tier1
TGFB1_LAP1__ext	12	M2
TGFB1_TGFB2_TGFBR3_TGFBR2__cyto	11	M2
TGFB1_TGFBR2_TGFBR1__cyto	11	M2
TGFB1_TGFBR2_TGFBR1__endo	3	M2
TGFB1_TGFBR2_Ub_p_TGFBR1_Ub_SMAD7_UCHL5_USP15__cyto	17	M2
TGFB1_TGFBR2_Ub_p_TGFBR1_Ub_SMAD7__cyto	17	M2
TGFB1_TGFBR2_p_TGFBR1_BAMBI_SMAD7__cyto	3	M2
TGFB1_TGFBR2_p_TGFBR1_SMAD7_SMURF_NEDD4L__cyto	17	M2
TGFB1_TGFBR2_p_TGFBR1_Ub_SMAD7__cyto	17	M2
TGFB1_TGFBR2_p_TGFBR1__cyto	3	M2
TGFB1__ext	1	M2
TGFB1_dimer__ext	11	M2
TGFB1_p_TGFBR_I_SMAD7_GADD34_PP1_ZFYVE9__endo	3	M2
TGFB1_p_TGFBR_I_SMAD7__cyto	3	M2
TGFB1_p_TGFBR_STRAP_SMAD7__cyto	3	M2
TGFB1_p_TGFBR_STRAP__cyto	3	M2
TGFB1_p_TGFBR_ZFYVE9_SMAD2_3__endo	3	M2
TGFB1_p_TGFBR_ZFYVE9__endo	3	M2
TGFB1_p_TGFBR_ZFYVE9_p_2S_SMAD2_3__endo	3	M2
TGFB3_LAP3__ext	30	M2
TGFBR1_FKBP1A__cyto	11	M2
TGFBR2_CBL__cyto	11	M2
TGFBR2__cyto	11	M2
TGFBR3_1_783_TGFB1_TGFB2__ext	11	M2
TGFB_LAP__ext	29	M2
TGF_beta_1_LAP1__golgi	12	M2
TGF_beta_3_LAP3_LAP3_binding_integrins__ext	30	M2
THBS1__ecm	1	ssc_tier1
TICAM1__cyto	10	ssc_tier1
TLE__nuc	6	M3
TLR3__endo	10	ssc_tier1
TLR7__endo	10	ssc_tier1
TLR8__endo	10	ssc_tier1
TLR9__endo	10	ssc_tier1
TMEM173__cyto	10	ssc_tier1
TMEM173_active__er	10	M1
TNC__ecm	1	ssc_tier1
TNFSF13B__ext	24	ssc_tier1
TNFSF13__ext	24	ssc_tier1
TWIST1__nuc	1	ssc_tier1
TYK2_inhibitors__cyto	0	M1
Th2_cell__cell	8	M4
Th_lineage_committed__cell	8	M4
Tight_Junction_Complex_PARD6A_RHOA__cyto	11	M2
Tight_Junction_Complex_TGFB1_TGFBR2_TGFBR1_PARD6A_RHOA__cyto	11	M2
Tight_Junction_Complex_TGFB1_TGFBR2_p_TGFBR1_p_PARD6A_RHOA_SMURF1__cyto	11	M2
Tight_Junction_Complex_TGFB1_TGFBR2_p_TGFBR1_p_PARD6A_RHOA__cyto	11	M2
Tight_Junction_Complex_TGFB1_TGFBR2_p_TGFBR1_p_PARD6A_Ub_RHOA_SMURF1__cyto	11	M2
Tight_Junction_Complex_TGFBR1_PARD6A_RHOA__cyto	11	M2
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_PTPN11_CBL__cyto	11	M4
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_PTPN11__cyto	0	M4
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_SOCS3__cyto	0	M4
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_STAT1_STAT3__cyto	0	M4
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_Tyrosine_phosphorylated_STAT1_STAT3__cyto	0	M4
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_Tyrosine_serine_phosphorylated_STAT1_3__cyto	0	M4
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs__cyto	0	M4
UCHL5_USP15__cyto	17	M2
USP18__cyto	27	M1
Ub_DLL_JAG_NOTCH1__cyto	2	M3
Ub_DLL_JAG_NOTCH1_fragment__cyto	2	M3
Ub_DTX_ITCH__cyto	2	M3
Ub_NOTCH1_DTX_ARRB__cyto	2	M3
Ub_NOTCH1_NUMB_ITCH__cyto	2	M3
Ub_SMAD2__cyto	25	M2
Ub_SMAD3__cyto	3	M2
Ub_p_NICD1__nuc	6	M3
Ubiquitin_ligase__cyto	2	M3
VEGFA_KDR_complex__pm	7	M3
VEGFA__ext	7	ssc_tier1
VWF__pm	1	ssc_tier1
XAF1__cyto	5	M1
XBP1__nuc	8	ssc_tier1
XPO1__cyto	13	M2
XPO1__nuc	13	M2
YAP1_TAZ_active__nuc	1	M2
YAP1__cyto	1	ssc_tier1
ZEB1__nuc	1	ssc_tier1
ZEB2__nuc	1	ssc_tier1
ZFYVE9_iso1__endo	3	M2
active_PDGF_AA_dimer__ext	12	M2
active_PDGF_BB_dimer__ext	12	M2
cGAMP__cyto	10	M1
cGMP__cyto	7	M3
dsDNA__cyto	10	M1
fibroblast_proFibrotic__cell	1	M2
gamma_secretase_complex__cyto	2	M3
multiubiquitinated_STAT2__cyto	0	M1
olaratumab__ext	14	M2
p21_RAS_GDP__cyto	9	M2
p21_RAS_GTP__cyto	9	M2
pDC_activated__cell	10	M1
pNICD1__nuc	6	M3
p_2S_SMAD2_3_MTMR4__endo	3	M2
p_2S_SMAD2_3_PMEPA1__endo	3	M2
p_2S_SMAD2_3_SMAD4__cyto	3	M2
p_2S_SMAD2_3__cyto	3	M2
p_4Y_PLCG1__cyto	9	M2
p_NICD1_FBXW7_SKP1_CUL1_RBX1__nuc	6	M3
p_PDGFRB_homo_and_heterodimers__cyto	0	M2
p_PDGFRB_homo_and_heterodimers_dephosphorylated_at_Y1021__cyto	0	M2
p_STAT1_dimer_ISGF3__cyto	20	M1
p_STAT1_dimer_KPNA1_KPNB1__cyto	20	M1
p_STAT1_dimer_KPNA1__cyto	20	M1
p_STAT2_p_STAT1__cyto	0	M1
p_TYK2_p_IFNAR1_SOCS_1_SOCS_3_IFNA_B_IFNAR2_p_JAK1_STAT2__cyto	0	M1
p_Y701_STAT1_1_dimer__cyto	0	M1
p_Y701_STAT1_KPNA1_KPNB1__cyto	19	M1
p_Y701_STAT1_dimer__nuc	19	M1
p_Y701_STAT1_dimer_p_Y705_STAT3_dimer_p_Y701_STAT1_p_Y705_STAT3__cyto	0	M4
p_Y701_STAT1_p_Y705_STAT3__cyto	0	M4
phenotype_ECM_deposition__ecm	1	M2
phenotype_ISG_signature__cell	5	M1
phenotype_autoAb_production__ext	8	M4
phenotype_myofibroblast_activation__cell	1	M2
phenotype_vascular_remodelling__cell	7	M3
proPDGF_AA_dimer__golgi	12	M2
proPDGF_AB_dimer__golgi	12	M2
proPDGF_BB_dimer__golgi	12	M2
rituximab_bound_Bcell__pm	8	M4
serine_type_endopeptidases_involved_in_novel_PDGF_processing__ext	21	M2
stiffened_ECM__ecm	1	M2
type_1_interferon_analogs__ext	16	M1
type_II_PDGFR_binding_tyrosine_kinase_inhibitors__cyto	14	M2
type_I_PDGFR_binding_tyrosine_kinase_inhibitors__cyto	0	M2
vasoconstriction__cell	7	M3
