species_id	module	nearest_sink_distance	reason
ABCE1_RNASEL_dimer__mito	M1	-1	no_path_to_sink_within_max_path
ABCE1__mito	M1	-1	no_path_to_sink_within_max_path
Active_PDGF_dimers_CC_DD__ext	M2	-1	no_path_to_sink_within_max_path
BAFF_BCMA__pm	M4	-1	no_path_to_sink_within_max_path
BAFF_BCMA_complex__pm	M4	-1	no_path_to_sink_within_max_path
BCMA__ext	ssc_tier1	-1	no_path_to_sink_within_max_path
CLCF1__ext	M4	-1	no_path_to_sink_within_max_path
CNTFR_CRLF1_CLCF1__cyto	M4	-1	no_path_to_sink_within_max_path
CNTFR__cyto	M4	-1	no_path_to_sink_within_max_path
CNTF_CNTFR__cyto	M4	-1	no_path_to_sink_within_max_path
CNTF__ext	M4	-1	no_path_to_sink_within_max_path
COX-2__er	ssc_tier1	-1	no_path_to_sink_within_max_path
CRLF1_CLCF1__cyto	M4	-1	no_path_to_sink_within_max_path
CRLF1__cyto	M4	-1	no_path_to_sink_within_max_path
Cleaved_PDGF_B_peptides__golgi	M2	-1	no_path_to_sink_within_max_path
Cleaved_novel_PDGF_fragments__ext	M2	-1	no_path_to_sink_within_max_path
DLL1_NOTCH1__cyto	M3	-1	no_path_to_sink_within_max_path
DLL1__cyto	M3	-1	no_path_to_sink_within_max_path
DLL4_NOTCH1__cyto	M3	-1	no_path_to_sink_within_max_path
DLL4__cyto	M3	-1	no_path_to_sink_within_max_path
Extracellular_matrix_ligands__ext	M2	-1	no_path_to_sink_within_max_path
FURIN__golgi	M2	-1	no_path_to_sink_within_max_path
Fibrillin_1__ext	M2	-1	no_path_to_sink_within_max_path
IFNAR2_iso2__cyto	M1	-1	no_path_to_sink_within_max_path
IFNAR2c_UBP43__cyto	M1	-1	no_path_to_sink_within_max_path
IL31_IL31RA_JAK1_OSMR_JAK1__cyto	M4	-1	no_path_to_sink_within_max_path
IL31_IL31RA_JAK1__cyto	M4	-1	no_path_to_sink_within_max_path
JAK1_inhibited__cyto	M1	-1	no_path_to_sink_within_max_path
KPNA1__cyto	M1	-1	no_path_to_sink_within_max_path
KPNB1__cyto	M1	-1	no_path_to_sink_within_max_path
LAP1_binding_integrins__cyto	M2	-1	no_path_to_sink_within_max_path
LAP3_binding_integrins__cyto	M2	-1	no_path_to_sink_within_max_path
LIFR_JAKs_OSMR_JAKs__cyto	M4	-1	no_path_to_sink_within_max_path
LTBP1_LTBP3_TGFB_LAP__ext	M2	-1	no_path_to_sink_within_max_path
LTBP1_LTBP3__ext	M2	-1	no_path_to_sink_within_max_path
LTBP1_TGFB1_LAP1_LAP1_binding_integrins__cyto	M2	-1	no_path_to_sink_within_max_path
LTBP1_TGFB1_LAP1__ext	M2	-1	no_path_to_sink_within_max_path
LTBP4_TGFB1_LAP1__ext	M2	-1	no_path_to_sink_within_max_path
LTBP4__ext	M2	-1	no_path_to_sink_within_max_path
LTBPs_Fibrillin_1__ext	M2	-1	no_path_to_sink_within_max_path
LTBPs__ext	M2	-1	no_path_to_sink_within_max_path
NEDD4L__nuc	M2	-1	no_path_to_sink_within_max_path
NOTCH1_Fringe_modified_NOTCH1__cyto	M3	-1	no_path_to_sink_within_max_path
N_ter_PDGFA_2_fragment__golgi	M2	-1	no_path_to_sink_within_max_path
N_ter_PDGF_A_fragment__golgi	M2	-1	no_path_to_sink_within_max_path
Novel_PDGF_precursor_dimers_CC_DD__ext	M2	-1	no_path_to_sink_within_max_path
Novel_PDGF_precursor_dimers_CC_DD__golgi	M2	-1	no_path_to_sink_within_max_path
OSMR_JAK1__cyto	M4	-1	no_path_to_sink_within_max_path
OSM_OSMR_LIFR__cyto	M4	-1	no_path_to_sink_within_max_path
OSM__ext	M4	-1	no_path_to_sink_within_max_path
PDGF_A_B_heterodimer__ext	M2	-1	no_path_to_sink_within_max_path
PDGF_A_and_B_chains_ECM_complex__ext	M2	-1	no_path_to_sink_within_max_path
PDGF_A_and_B_chains_with_retention_motif__ext	M2	-1	no_path_to_sink_within_max_path
PDGF_precursor_dimers_AA_BB_A_B_CC_DD__er	M2	-1	no_path_to_sink_within_max_path
PDGF_precursor_dimers_AA_BB_A_B_CC_DD__golgi	M2	-1	no_path_to_sink_within_max_path
PTPN2__cyto	ssc_tier1	-1	no_path_to_sink_within_max_path
Pre_TGFB1_complex__golgi	M2	-1	no_path_to_sink_within_max_path
RNASEL_dimer__mito	M1	-1	no_path_to_sink_within_max_path
SMAD2_SMURF2__cyto	M2	-1	no_path_to_sink_within_max_path
SMAD2__cyto	M2	-1	no_path_to_sink_within_max_path
SMAD7_NEDD4L__cyto	M2	-1	no_path_to_sink_within_max_path
SMAD7_NEDD4L__nuc	M2	-1	no_path_to_sink_within_max_path
SMAD7_SMURF1_XPO1__nuc	M2	-1	no_path_to_sink_within_max_path
SMAD7_SMURF1__cyto	M2	-1	no_path_to_sink_within_max_path
SMAD7_SMURF1__nuc	M2	-1	no_path_to_sink_within_max_path
SMAD7_SMURF2__cyto	M2	-1	no_path_to_sink_within_max_path
SMAD7_SMURF2__nuc	M2	-1	no_path_to_sink_within_max_path
SMAD7__nuc	M2	-1	no_path_to_sink_within_max_path
SMURF1__nuc	M2	-1	no_path_to_sink_within_max_path
SMURF2__cyto	M2	-1	no_path_to_sink_within_max_path
SMURF2__nuc	M2	-1	no_path_to_sink_within_max_path
SOCS1__cyto	ssc_tier1	-1	no_path_to_sink_within_max_path
TBXA2R__pm	ssc_tier1	-1	no_path_to_sink_within_max_path
TBXA2R_signal__pm	M3	-1	no_path_to_sink_within_max_path
TGFB1_LAP1__ext	M2	-1	no_path_to_sink_within_max_path
TGFB3_LAP3__ext	M2	-1	no_path_to_sink_within_max_path
TGFB_LAP__ext	M2	-1	no_path_to_sink_within_max_path
TGF_beta_1_LAP1__golgi	M2	-1	no_path_to_sink_within_max_path
TGF_beta_3_LAP3_LAP3_binding_integrins__ext	M2	-1	no_path_to_sink_within_max_path
TNFSF13B__ext	ssc_tier1	-1	no_path_to_sink_within_max_path
TNFSF13__ext	ssc_tier1	-1	no_path_to_sink_within_max_path
USP18__cyto	M1	-1	no_path_to_sink_within_max_path
Ub_SMAD2__cyto	M2	-1	no_path_to_sink_within_max_path
XPO1__cyto	M2	-1	no_path_to_sink_within_max_path
XPO1__nuc	M2	-1	no_path_to_sink_within_max_path
active_PDGF_AA_dimer__ext	M2	-1	no_path_to_sink_within_max_path
active_PDGF_BB_dimer__ext	M2	-1	no_path_to_sink_within_max_path
p_STAT1_dimer_ISGF3__cyto	M1	-1	no_path_to_sink_within_max_path
p_STAT1_dimer_KPNA1_KPNB1__cyto	M1	-1	no_path_to_sink_within_max_path
p_STAT1_dimer_KPNA1__cyto	M1	-1	no_path_to_sink_within_max_path
proPDGF_AA_dimer__golgi	M2	-1	no_path_to_sink_within_max_path
proPDGF_AB_dimer__golgi	M2	-1	no_path_to_sink_within_max_path
proPDGF_BB_dimer__golgi	M2	-1	no_path_to_sink_within_max_path
serine_type_endopeptidases_involved_in_novel_PDGF_processing__ext	M2	-1	no_path_to_sink_within_max_path
